id,name,url,poster,average_rating
tt2096673,Inside Out,https://www.imdb.com/title/tt2096673,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,8.1
tt0892769,How to Train Your Dragon,https://www.imdb.com/title/tt0892769,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,8.1
tt0198781,"Monsters, Inc.",https://www.imdb.com/title/tt0198781,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,8.1
tt0096283,My Neighbor Totoro,https://www.imdb.com/title/tt0096283,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,8.1
tt5323662,A Silent Voice: The Movie,https://www.imdb.com/title/tt5323662,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,8.1
tt0129167,The Iron Giant,https://www.imdb.com/title/tt0129167,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,8.1
tt0169858,Neon Genesis Evangelion: The End of Evangelion,https://www.imdb.com/title/tt0169858,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,8.1
tt0978762,Mary and Max,https://www.imdb.com/title/tt0978762,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,8.1
tt2140203,Wolf Children,https://www.imdb.com/title/tt2140203,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,8.1
tt2948356,Zootopia,https://www.imdb.com/title/tt2948356,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,8.0
tt0317705,The Incredibles,https://www.imdb.com/title/tt0317705,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,8.0
tt0103639,Aladdin,https://www.imdb.com/title/tt0103639,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,8.0
tt2948372,Soul,https://www.imdb.com/title/tt2948372,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,8.0
tt0101414,Beauty and the Beast,https://www.imdb.com/title/tt0101414,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,8.0
tt0156887,Perfect Blue,https://www.imdb.com/title/tt0156887,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,8.0
tt0094625,Akira,https://www.imdb.com/title/tt0094625,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,8.0
tt0087544,Nausica of the Valley of the Wind,https://www.imdb.com/title/tt0087544,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,8.0
tt0092067,Castle in the Sky,https://www.imdb.com/title/tt0092067,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,8.0
tt5198068,Wolfwalkers,https://www.imdb.com/title/tt5198068,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,8.0
tt2576852,The Tale of The Princess Kaguya,https://www.imdb.com/title/tt2576852,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,8.0
tt1865505,Song of the Sea,https://www.imdb.com/title/tt1865505,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,8.0
tt0808417,Persepolis,https://www.imdb.com/title/tt0808417,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,8.0
tt3915174,Puss in Boots: The Last Wish,https://www.imdb.com/title/tt3915174,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,7.9
