user_id,movie_id,rate
RoBiN_SinGH211221,The Godfather Part II,10
Dan_W_Reviews,The Godfather Part II,10
deram-77963,The Godfather Part II,10
mukherjeesubham93,The Godfather Part II,10
Smells_Like_Cheese,The Godfather Part II,10
disdressed12,The Godfather Part II,10
evanston_dad,The Godfather Part II,7
xanderlm,The Godfather Part II,10
ShadowRomeo1784,The Godfather Part II,10
sauravjoshi85,The Godfather Part II,10
insomniac_rod,The Godfather Part II,10
The-Sarkologist,The Godfather Part II,6
jacobjohntaylor1,The Godfather Part II,1
slokes,The Godfather Part II,8
aharmas,The Godfather Part II,8
Amyth47,The Godfather Part II,10
gangstahippie,The Godfather Part II,9
doding143,The Godfather Part II,10
hall895,The Godfather Part II,9
PathetiCinema,The Godfather Part II,1
kevin_robbins,The Godfather Part II,10
AaronCapenBanner,The Godfather Part II,10
Christian_Dimartino,The Godfather Part II,10
ebiros2,Schindler's List,10
Fella_shibby,Schindler's List,10
EVON1TY,Schindler's List,10
SnoopyStyle,Schindler's List,10
TheLittleSongbird,Schindler's List,10
classicsoncall,Schindler's List,10
Sleepin_Dragon,Schindler's List,10
RossRivero99,Schindler's List,10
Leofwine_draca,Schindler's List,8
miguelneto-74936,Schindler's List,9
lee_eisenberg,Schindler's List,10
ackstasis,Schindler's List,10
bkoganbing,Schindler's List,10
safenoe,Schindler's List,10
Quinoa1984,Schindler's List,10
rmax304823,Schindler's List,8
KFL,Schindler's List,9
Kingslaay,Schindler's List,9
the-fearless-america,Schindler's List,10
thinker1691,Schindler's List,10
Anonymous_Maxine,Schindler's List,10
MuviFan73,Schindler's List,9
sandnair87,Schindler's List,10
Smells_Like_Cheese,Schindler's List,10
nickmesafilms,Schindler's List,10
SmileysWorld,Schindler's List,8
bobsgrock,Schindler's List,10
werefox08,Schindler's List,9
Rawal_Afzal,Schindler's List,8
lark40,Schindler's List,9
Marc_Israel_365,Schindler's List,9
lagudafuad,Schindler's List,8
jboothmillard,Schindler's List,10
brianberta,Schindler's List,9
hemant_balz,Schindler's List,10
Thanos_Alfie,Schindler's List,9
Red-Barracuda,Schindler's List,9
thesouthfamily2-552-707097,Schindler's List,10
851222,Schindler's List,10
Movie_Muse_Reviews,Schindler's List,10
ThatMonkey,Schindler's List,10
Cocacolaguy912-2,Schindler's List,10
BadWebDiver,Schindler's List,10
chrisbrown6453,Schindler's List,8
gcd70,Schindler's List,9
lesleyharris30,Schindler's List,9
ShelbyTMItchell,Schindler's List,10
AaronCapenBanner,Schindler's List,10
Spleen,Schindler's List,10
FrankBooth_DeLarge,Schindler's List,10
pyrocitor,Schindler's List,10
sme_no_densetsu,Schindler's List,9
DennisLittrell,Schindler's List,9
Lee-107,Schindler's List,10
baumer,Schindler's List,10
hall895,Schindler's List,8
grahamsj3,Schindler's List,9
OriginalMovieBuff21,Schindler's List,10
braddugg,Schindler's List,10
gavin6942,Schindler's List,8
neil-476,Schindler's List,10
evanston_dad,Schindler's List,8
OllieSuave-007,Schindler's List,8
sddavis63,Schindler's List,9
mOVIemAN56,Schindler's List,10
StevePulaski,Schindler's List,10
g-bodyl,Schindler's List,10
jaesboxer,Schindler's List,10
filipemanuelneto,Schindler's List,10
drdos43,Schindler's List,10
kyle-cruse,Schindler's List,8
leosmith-11166,Schindler's List,8
Coxer99,Schindler's List,10
rsabnis1,Schindler's List,10
dimitrisalomao,Schindler's List,9
R_Alex_Jenkins,Schindler's List,10
Chris J.,Schindler's List,9
jacobjohntaylor1,Schindler's List,4
Starks,Schindler's List,10
m_madhu,Schindler's List,8
RNMorton,Schindler's List,10
axismladen,Schindler's List,10
bill-422,Schindler's List,10
areatw,Schindler's List,10
khanbaliq2,Schindler's List,10
petarmatic,Schindler's List,9
eagandersongil,Schindler's List,10
grantss,Schindler's List,8
Science_Fantasy_Guy,Schindler's List,10
aruslanzhabbarovkrut,Schindler's List,10
aruslanzhabbarovkrut,Schindler's List,10
wellthatswhatithinkanyway,Schindler's List,10
johnmschofield,Schindler's List,10
Leofwine_draca,The Lord of the Rings: The Fellowship of the Ring,10
classicsoncall,The Lord of the Rings: The Fellowship of the Ring,10
jaesboxer,The Lord of the Rings: The Fellowship of the Ring,10
EVON1TY,The Lord of the Rings: The Fellowship of the Ring,10
dee.reid,The Lord of the Rings: The Fellowship of the Ring,10
Aaron1375,The Lord of the Rings: The Fellowship of the Ring,10
Theo Robertson,The Lord of the Rings: The Fellowship of the Ring,10
mfellipecampos,The Lord of the Rings: The Fellowship of the Ring,10
ronakkotian,The Lord of the Rings: The Fellowship of the Ring,10
Kakueke,The Lord of the Rings: The Fellowship of the Ring,10
pyrocitor,The Lord of the Rings: The Fellowship of the Ring,10
filipemanuelneto,The Lord of the Rings: The Fellowship of the Ring,10
zkonedog,The Lord of the Rings: The Fellowship of the Ring,10
karenlynn1,The Lord of the Rings: The Fellowship of the Ring,10
auuwws,The Lord of the Rings: The Fellowship of the Ring,10
TheLittleSongbird,The Lord of the Rings: The Fellowship of the Ring,9
WubsTheFadger,The Lord of the Rings: The Fellowship of the Ring,10
TBJCSKCNRRQTreviews,The Lord of the Rings: The Fellowship of the Ring,10
bombersflyup,The Lord of the Rings: The Fellowship of the Ring,10
Bored_Dragon,The Lord of the Rings: The Fellowship of the Ring,10
joiningjt,The Lord of the Rings: The Fellowship of the Ring,10
lee_eisenberg,The Lord of the Rings: The Fellowship of the Ring,10
jacobmeyerjkm,The Lord of the Rings: The Fellowship of the Ring,10
neil-476,The Lord of the Rings: The Fellowship of the Ring,10
Rainey-Dawn,The Lord of the Rings: The Fellowship of the Ring,10
ElMaruecan82,The Lord of the Rings: The Fellowship of the Ring,10
pmtelefon,The Lord of the Rings: The Fellowship of the Ring,10
jacobjohntaylor1,The Lord of the Rings: The Fellowship of the Ring,10
Vartiainen,The Lord of the Rings: The Fellowship of the Ring,10
Vartiainen,The Lord of the Rings: The Fellowship of the Ring,10
Johnny-the-Film-Sentinel-2187,The Lord of the Rings: The Fellowship of the Ring,10
Agent10,The Lord of the Rings: The Fellowship of the Ring,10
lambiepie-2,The Lord of the Rings: The Fellowship of the Ring,10
miguelneto-74936,The Lord of the Rings: The Fellowship of the Ring,10
vithiet,The Lord of the Rings: The Fellowship of the Ring,10
LoneWolfAndCub,The Lord of the Rings: The Fellowship of the Ring,10
alexpeychev,The Lord of the Rings: The Fellowship of the Ring,10
calspers,The Lord of the Rings: The Fellowship of the Ring,10
SMLA11,The Lord of the Rings: The Fellowship of the Ring,10
dcldan,The Lord of the Rings: The Fellowship of the Ring,10
sandnair87,The Lord of the Rings: The Fellowship of the Ring,10
bevo-13678,The Lord of the Rings: The Fellowship of the Ring,10
g-bodyl,The Lord of the Rings: The Fellowship of the Ring,10
RNMorton,The Lord of the Rings: The Fellowship of the Ring,10
SnoopyStyle,The Lord of the Rings: The Fellowship of the Ring,9
